门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geomonas,Geomonas edaphica,Geoed,GCF_004917075.1
Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,Brasilonema,Brasilonema sennae,Brase,GCF_006968745.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geobacter,Geobacter argillaceus,Geoar,GCF_007830735.1
Cyanobacteria,Cyanophyceae,Nostocales,Calotrichaceae,Dulcicalothrix,Dulcicalothrix desertica,Dulde,GCF_007830875.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Geothermobacter,Geothermobacter ehrlichii,Geoeh,GCF_008124615.1
Cyanobacteria,Cyanophyceae,Synechococcales,Thermosynechococcaceae,Thermosynechococcus,Thermosynechococcus?sp.CL-1,ThespCL,GCF_008386235.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Oryzomonas,Oryzomonas japonica,Oryja,GCF_008802365.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium aponinum,Cyaap,GCF_009710015.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Sodalinema,Sodalinema gerasimenkoae,Sodge,GCF_009846485.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcales,Petrachloros,Petrachloros mirabilis,Petmi,GCF_009939295.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Desertiailaceae,Jacksonvillea,Jacksonvillea sp.ISTCYN1,Jacsp,GCF_010156995.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis?sp.CaCIaM05,SynspC,GCF_010222815.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Oxynema,Oxynema aestuarii,Oxyae,GCF_012295525.1
